SPLIT,SEASON,Champion,picks,bans,presence,avg bt,wins,losses,winrate,KDA,GT,CSM,DPM,CSD-15MIN
SPRING,S8,Ryze Ryze,814,973,83%,4.4,379,435,47%,3.6,34:58:00,10,461,2.5
SPRING,S8,Camille Camille,490,1188,78%,4.5,272,218,56%,2.6,34:16:00,8.2,393,-1.6
SPRING,S8,Braum Braum,1027,574,74%,7.3,511,516,50%,3.5,35:32:00,2.2,152,6.5
SPRING,S8,Sejuani Sejuani,998,597,74%,5.1,470,528,47%,3.6,35:24:00,4.9,199,0.4
SPRING,S8,Azir Azir,651,932,74%,4.6,335,316,51%,3.5,35:41:00,10,604,2.3
SPRING,S8,Tahm Kench Tahm Kench,710,777,69%,5.7,352,358,50%,2.6,35:27:00,2.2,133,7.9
SPRING,S8,Gangplank Gangplank,516,822,62%,4.9,299,217,58%,4.2,35:57:00,9.2,594,-11.4
SPRING,S8,Gnar Gnar,730,547,59%,7,328,402,45%,2.7,36:11:00,8.9,424,7.6
SPRING,S8,Varus Varus,710,530,58%,6.1,347,363,49%,4,35:16:00,9.9,489,2.3
SPRING,S8,Galio Galio,317,893,56%,3.9,168,149,53%,4,34:47:00,8.9,470,-11
SPRING,S8,Alistar Alistar,571,576,53%,7,297,274,52%,2.9,34:46:00,1.8,134,0.4
SPRING,S8,Ornn Ornn,680,455,53%,6.7,337,343,50%,3.3,35:21:00,7.4,360,-0.3
SPRING,S8,Ezreal Ezreal,746,360,51%,5.6,392,354,53%,5.3,35:33:00,9.7,722,0
SPRING,S8,Caitlyn Caitlyn,642,459,51%,5.4,323,319,50%,3.9,34:48:00,10.3,639,3.4
SPRING,S8,Xayah Xayah,520,575,51%,4.3,279,241,54%,4.4,34:31:00,10.2,606,0.7
SPRING,S8,Zoe Zoe,266,800,50%,3.8,145,121,55%,4.5,35:02:00,9,637,3.4
SPRING,S8,Jarvan IV Jarvan IV,605,452,49%,6,315,290,52%,3.4,35:08:00,4.8,176,-5.4
SPRING,S8,Sion Sion,517,480,46%,4.8,248,269,48%,3,34:36:00,8,367,1.2
SPRING,S8,Skarner Skarner,450,538,46%,4.5,248,202,55%,3.1,35:11:00,5,142,4.9
SPRING,S8,Tristana Tristana,596,354,44%,5.8,295,301,49%,4.5,34:41:00,10.4,574,-5.2
SPRING,S8,Taliyah Taliyah,391,545,44%,5.2,201,190,51%,3.8,35:07:00,9.4,576,-0.5
SPRING,S8,KhaZix KhaZix,402,486,41%,5.5,210,192,52%,3,35:28:00,5.3,311,-0.6
SPRING,S8,Zac Zac,461,404,40%,6.6,239,222,52%,3.7,34:54:00,4.6,176,-7.8
SPRING,S8,Kalista Kalista,280,561,39%,4.2,136,144,49%,3.9,35:18:00,10.1,447,5.1
SPRING,S8,Vladimir Vladimir,347,415,35%,6,170,177,49%,3,34:52:00,9.1,548,3.1
SPRING,S8,Olaf Olaf,355,397,35%,4.4,183,172,52%,3.6,34:24:00,5.2,274,6.4
SPRING,S8,Rakan Rakan,429,318,35%,4.3,233,196,54%,3.8,34:44:00,0.7,160,-17
SPRING,S8,KogMaw KogMaw,273,439,33%,4.4,118,155,43%,3.8,36:08:00,10,625,-4
SPRING,S8,Taric Taric,391,306,32%,8.2,189,202,48%,3.3,35:12:00,2.2,87,3.7
SPRING,S8,Cassiopeia Cassiopeia,293,388,32%,6.5,171,122,58%,4.6,34:26:00,9.4,533,4.9
SPRING,S8,Swain Swain,173,429,28%,3.8,102,71,59%,3.7,33:33:00,8.5,534,-2.6
SPRING,S8,Shen Shen,297,277,27%,6.8,140,157,47%,3.4,34:28:00,5.6,205,-3.5
SPRING,S8,Chogath Chogath,376,146,24%,8.3,194,182,52%,2.5,34:44:00,7.9,325,-3.2
SPRING,S8,Morgana Morgana,206,235,21%,6.6,100,106,49%,3.7,33:46:00,0.7,253,-11.4
SPRING,S8,Malzahar Malzahar,187,227,19%,5.3,96,91,51%,3.5,36:00:00,9.4,484,-6.6
SPRING,S8,Trundle Trundle,231,169,19%,5.9,117,114,51%,3.4,33:59:00,5.6,193,-0.5
SPRING,S8,Janna Janna,202,178,18%,7.9,95,107,47%,3.8,34:29:00,0.9,178,-16.7
SPRING,S8,Thresh Thresh,213,153,17%,7.6,101,112,47%,3.3,34:24:00,1.2,134,-1.4
SPRING,S8,Karma Karma,179,179,17%,5.8,86,93,48%,4.6,34:15:00,6.6,358,-4.5
SPRING,S8,Corki Corki,233,112,16%,6.9,100,133,43%,3.4,35:35:00,10.4,648,4.5
SPRING,S8,Orianna Orianna,197,132,15%,7.5,100,97,51%,4.6,36:12:00,9.5,521,3.8
SPRING,S8,Jax Jax,179,114,14%,7.7,76,103,42%,2.5,35:09:00,6,181,4.6
SPRING,S8,Jayce Jayce,80,190,13%,6.7,45,35,56%,2.6,33:53:00,9.3,548,14.2
SPRING,S8,Fiora Fiora,108,161,13%,7.8,43,65,40%,2,33:46:00,9.5,424,1.1
SPRING,S8,Kaisa Kaisa,102,142,11%,4.3,52,50,51%,4.6,34:05:00,10.2,590,-3.9
SPRING,S8,Jhin Jhin,137,76,10%,6.5,66,71,48%,5.2,33:23:00,9.6,551,-0.6
SPRING,S8,Anivia Anivia,76,93,8%,5.1,42,34,55%,5.7,35:29:00,9.5,480,-0.8
SPRING,S8,Kassadin Kassadin,85,77,8%,8.1,35,50,41%,4,34:10:00,9.2,499,-5.4
SPRING,S8,Syndra Syndra,101,52,7%,7.5,39,62,39%,3,36:22:00,9.6,532,1.8
SPRING,S8,Nidalee Nidalee,70,82,7%,6.4,39,31,56%,3.8,34:17:00,6.2,352,17.8
SPRING,S8,Maokai Maokai,125,22,7%,8.8,56,69,45%,2.4,35:08:00,7.3,351,-7.5
SPRING,S8,Lee Sin Lee Sin,101,45,7%,6.5,44,57,44%,2.8,33:14:00,4.8,202,-4.8
SPRING,S8,Sivir Sivir,89,45,6%,7.9,37,52,42%,4,37:26:00,10.9,600,-3.1
SPRING,S8,Leona Leona,96,36,6%,7.9,50,46,52%,2.7,34:58:00,2,123,10.1
SPRING,S8,Rengar Rengar,50,52,5%,7.7,22,28,44%,2.4,38:35:00,5.9,236,7.1
SPRING,S8,LeBlanc LeBlanc,41,60,5%,7.6,21,20,51%,3.6,35:36:00,8.1,515,-3.1
SPRING,S8,Jinx Jinx,65,36,5%,7.3,35,30,54%,5,34:05:00,10.7,655,0.4
SPRING,S8,RekSai RekSai,69,28,5%,7.3,34,35,49%,2.9,34:25:00,5.2,223,3
SPRING,S8,Urgot Urgot,51,46,5%,6.7,23,28,45%,2.8,33:17:00,8.7,424,9.1
SPRING,S8,Nunu Nunu,38,55,4%,4.7,17,21,45%,2.6,36:33:00,4.9,102,8.8
SPRING,S8,Veigar Veigar,51,41,4%,6.5,26,25,51%,4.1,34:09:00,9,464,-14.2
SPRING,S8,Illaoi Illaoi,33,56,4%,8.2,15,18,45%,1.2,35:50:00,9,535,12.3
SPRING,S8,Lulu Lulu,60,24,4%,8.9,29,31,48%,4.4,33:57:00,1.5,153,-14
SPRING,S8,Gragas Gragas,73,11,4%,9.1,34,39,47%,2.8,35:08:00,4.5,199,-6.2
SPRING,S8,Poppy Poppy,51,26,4%,7.7,24,27,47%,2.8,33:28:00,7.3,336,-5.2
SPRING,S8,Ashe Ashe,51,10,3%,8.8,27,24,53%,4.4,33:28:00,9.5,556,-4.2
SPRING,S8,VelKoz VelKoz,33,27,3%,4.5,19,14,58%,4,38:20:00,8.4,615,0.6
SPRING,S8,Zilean Zilean,42,18,3%,7.5,20,22,48%,3.8,36:30:00,2.8,273,-11.5
SPRING,S8,Evelynn Evelynn,15,44,3%,3.5,9,6,60%,3.1,38:53:00,4.8,329,-1.2
SPRING,S8,Vayne Vayne,41,16,3%,6.7,19,22,46%,3.4,35:08:00,10.1,553,-1.1
SPRING,S8,Viktor Viktor,41,14,3%,6.9,12,29,29%,2.7,34:15:00,9.3,545,-2.7
SPRING,S8,Graves Graves,30,24,3%,3.4,14,16,47%,2.9,31:06:00,6.5,377,17.9
SPRING,S8,Riven Riven,25,25,2%,5.6,14,11,56%,2.8,33:39:00,9.4,382,5.9
SPRING,S8,Bard Bard,32,16,2%,7.1,15,17,47%,2.7,34:06:00,1.1,244,-21.7
SPRING,S8,Lucian Lucian,34,13,2%,6.5,11,23,32%,2.1,33:11:00,9.6,587,16.1
SPRING,S8,Shyvana Shyvana,26,18,2%,8.2,5,21,19%,1.9,35:44:00,6.3,240,21.6
SPRING,S8,Ekko Ekko,28,14,2%,6.1,14,14,50%,3.8,34:43:00,9.5,452,-6.2
SPRING,S8,Ivern Ivern,21,19,2%,5.5,11,10,52%,4.5,39:16:00,4.2,164,-7.2
SPRING,S8,Rumble Rumble,26,13,2%,7.2,9,17,35%,2.2,36:44:00,8.1,452,-6.2
SPRING,S8,Aurelion Sol Aurelion Sol,19,19,2%,6.7,9,10,47%,4.6,36:30:00,8.7,554,-10.1
SPRING,S8,Kled Kled,23,14,2%,6.1,11,12,48%,3.8,33:25:00,8.5,370,-5.9
SPRING,S8,Yasuo Yasuo,19,17,2%,4.1,10,9,53%,2.2,30:12:00,9.3,341,12.4
SPRING,S8,Ziggs Ziggs,25,10,2%,7.3,13,12,52%,3.6,36:12:00,9.4,727,-0.3
SPRING,S8,Xerath Xerath,20,13,2%,6.8,7,13,35%,3.5,34:58:00,9.2,758,-4.2
SPRING,S8,Nocturne Nocturne,21,10,1%,7.4,9,12,43%,2.1,34:26:00,5.4,308,-0.4
SPRING,S8,Kennen Kennen,15,14,1%,5.9,6,9,40%,2.5,34:00:00,6.7,327,-10
