Split,Season,Player,Position,Games,Win Rate,KLDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP %,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD-15min,CSD-15min,XPD-15MIN,FB%,FB victim,penta kills,solo kills
Spring,S8,0bsess,JUNGLE,12,33.30%,2.1,2.1,3.4,5.3,4.6,307,72.20%,15.3,257,1.5,0.75,0.33,0.31,191,6,232,50%,8.30%,0,1
Spring,S8,1an,ADC,20,40%,4,2.9,2.2,5.7,9.8,416,68.80%,29.7,586,1.32,0.44,0.31,0.12,309,10,131,10%,5%,0,2
Spring,S8,3z,TOP,37,51.40%,2.8,1.7,1.9,3.7,9.1,404,53.80%,24.8,490,1.05,0.51,0.15,0.08,117,-1,-23,10.80%,16.20%,0,11
Spring,S8,4LaN,JUNGLE,14,21.40%,1.8,1,3.1,4.6,5,303,63.50%,11.1,212,2.22,1.12,0.38,0.36,17,3,20,28.60%,0%,0,-
Spring,S8,957,TOP,51,49%,4.2,1.5,1.6,5.3,8.5,386,58.00%,21.9,382,-,0.57,0.16,0.09,-,-,-,-,-,0,-
Spring,S8,ADD,TOP,52,36.50%,2,1.2,2.4,3.7,8.9,388,60.30%,26.9,497,1.5,0.79,0.23,0.22,51,-5,-172,19.20%,21.20%,0,9
Spring,S8,AHaHaCiK,JUNGLE,8,50%,2.8,1.3,2.3,5,4.6,296,71.80%,10.9,217,2.28,1.3,0.36,0.34,-288,-3,-678,12.50%,37.50%,0,-
Spring,S8,ALL IN,MID,6,33.30%,2.5,1.8,2.2,3.5,9.8,383,67.70%,32.9,444,1,0.66,0.2,0.3,-1,8,329,0%,0%,0,1
Spring,S8,Ablazeolive,MID,18,44.40%,2.6,2.6,2.7,4.4,9.7,403,69.60%,28.1,601,1.19,0.54,0.29,0.2,6,4,-5,27.80%,22.20%,0,2
Spring,S8,Able,ADC,10,50%,5.4,2,1.4,5.6,10.6,445,61.30%,23.4,389,-,0.35,0.49,0.03,-,-,-,-,-,0,-
Spring,S8,Absolut,ADC,17,35.30%,4.8,3.6,1.6,4.4,9.7,422,69.70%,32.3,675,1.02,0.49,0.23,0.14,-361,-9,-21,17.60%,5.90%,0,-
Spring,S8,Acce,TOP,30,50%,3.6,2.1,1.9,4.7,8.9,396,56.40%,21.9,428,1.05,0.57,0.17,0.13,328,11,351,26.70%,6.70%,0,7
Spring,S8,Ace,MID,13,38.50%,3.9,2.5,1.9,4.9,8.9,384,75.30%,25,455,1.07,0.63,0.18,0.2,-422,-4,-130,15.40%,0%,0,2
Spring,S8,Acerola,JUNGLE,8,50%,2.9,1.1,2.3,5.4,4.7,296,76.90%,10.9,176,2.8,1.59,0.48,0.4,-425,-4,-76,12.50%,25%,0,-
Spring,S8,Achuu,ADC,28,39.30%,3.4,3.4,2.2,4.1,9.7,416,76.40%,35.1,653,1.13,0.4,0.32,0.11,-402,-4,-84,21.40%,14.30%,0,5
Spring,S8,Adrian,SUPPORT,25,68%,3.7,0.3,2.3,8.2,1.7,254,61.90%,7.5,152,2.47,1.52,0.28,0.42,-127,1,-66,8%,4%,0,-
Spring,S8,Aegis,SUPPORT,1,0%,5,0,2,10,1.7,218,90.90%,6.4,104,1.86,1.23,0.2,0.5,-366,15,-424,0%,0%,0,-
Spring,S8,Aesthetic,JUNGLE,5,20%,4.6,3.8,2,5.4,5.2,324,84.60%,19.2,404,2.01,1.16,0.36,0.31,326,3,528,20%,0%,0,6
Spring,S8,Afflict,JUNGLE,5,40%,2.4,1.8,2.6,4.4,4.2,302,72.40%,9.7,171,1.35,0.56,0.32,0.29,439,-1,-97,40%,0%,0,-
Spring,S8,Agonistic,JUNGLE,20,40%,2.5,1.9,3.6,7,4.8,312,72.10%,10.6,210,2.35,1.2,0.43,0.33,-215,-4,-602,50%,15%,0,2
