Split,Name,Season,Region,Games,Win Rate,K:D,GPM,GDM,Game Duration,Kills/Game,Deaths/Game,Towers Killed,Towers Lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA-15MIN,TG-15MIN,GD-15MIN,NASHPG,NASH%,CSM,DPM,WPW,VWPM,WCPM
Spring,100 Thieves,S8,NA,27,59.30%,1.08,1762,-5,38:28:00,9.4,8.7,6.8,6,70.4,63,2.11,52.2,0.41,44,0.67,0.1,-83,1.04,50.1,34.5,1783,3.9,1.13,1.76
Spring,100 Thieves Academy,S8,NA,18,38.90%,0.85,1708,-133,34:11:00,9.3,10.9,4.8,7.2,50,27.8,1.28,36.8,0.22,26.7,0.28,-0.4,-1210,0.5,34.3,34.4,1703,4.1,1.14,1.54
Spring,1907 Fenerbahce,S8,TR,32,50.00%,1.22,1825,56,34:58:00,12.5,10.2,6.2,5.9,50,46.9,1.81,54.7,0.41,44.8,0.53,0,639,0.84,51,34.6,1869,4.2,1.24,1.66
Spring,6Sense,S8,LAN,22,36.40%,0.83,1726,-105,37:30:00,11.8,14.1,6,8.1,50,45.5,1.77,43.2,0.45,47.6,0.36,-0.5,-549,0.77,40.9,32.4,1834,3.8,1.23,1.36
Spring,7th Heaven,S8,JP,24,29.20%,0.85,1697,-172,35:42:00,9,10.6,4,7.7,50,37.5,1.33,37.1,0.25,31.6,0.38,-0.2,-404,0.54,30.2,34.8,1589,4.4,1.08,1.76
Spring,Ad Hoc Gaming,S8,EUW,3,0.00%,0.5,1582,-415,38:26:00,8,16,1.7,10.3,-,33.3,1.33,35.6,0.67,66.7,1.33,-0.3,-1729,0,0,33.3,1901,3.3,1.07,1.52
Spring,Afreeca Freecs,S8,KR,49,65.30%,1.26,1907,112,37:33:00,8.9,7,7.2,4.7,55.1,59.2,2.12,56.2,0.39,55.9,0.53,0.1,245,1.29,65,38.5,1718,5.3,1.54,2.33
Spring,ahq e-Sports Club,S8,TW,33,45.50%,0.91,1802,-23,39:31:00,9.3,10.3,6.1,6.4,48.5,54.5,1.73,47.6,0.48,69.6,0.35,-0.1,-23,0.94,53.2,36.6,1865,4.6,1.28,2.28
Spring,Ascension Gaming,S8,SEA,6,33.30%,0.82,1759,-58,34:56:00,12.2,14.8,5.2,6.8,-,33.3,1.17,28.1,0.17,20,0.17,-0.5,-1126,0.67,41.7,33.4,2011,3.4,1.07,1.19
Spring,Asus ROG Army,S8,ES,28,46.40%,0.84,1769,-14,34:58:00,9.5,11.3,6,6.6,25,28.6,1.54,44,0.32,56.3,0.25,0.1,449,0.39,39.6,34.5,1944,4.4,1.33,1.75
Spring,Avant Gaming,S8,OCE,28,50.00%,1.03,1823,19,34:59:00,12.6,12.2,6.6,6.2,32.1,46.4,1.82,52.3,0.46,56.5,0.61,-0.1,433,0.86,48.1,34,1995,4.1,1.15,1.37
Spring,BAUSuperMassive,S8,TR,46,82.60%,1.5,1985,297,30:30:00,15.4,10.3,8.5,3.3,50,73.9,2.26,73.2,0.57,65,1,0.9,1392,1.09,81.5,33.7,2176,3.9,1.2,1.34
