Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Top,46.90%,2.06%,0.42%,2.58,5.49,5.9,5.96,7,18687,31430,12450,146.8,2.52,3.66,10685,35,1
2,Ahri,Middle,51.84%,3.33%,0.30%,2.91,6.82,5.69,7.73,7,20593,18989,3499,140.2,0.85,2.83,10769,20,3
3,Akali,Middle,43.79%,3.49%,0.77%,2.98,8.45,6.61,5.48,10,19250,25051,6740,133.9,1.16,2.28,10933,40,2
4,Akali,Top,46.67%,1.27%,0.77%,3.98,7.21,6.06,4.82,7,19055,24429,6704,145.3,1.18,1.71,10718,40,0
5,Alistar,Support,51.76%,2.43%,0.07%,2.41,2.02,5.84,12.8,4,7948,21527,9162,30.8,0.1,0.13,7501,22,6
6,Amumu,Jungle,52.33%,3.24%,0.12%,2.37,4.69,5.86,9.78,8,13505,26849,7431,32.4,6.92,76.56,10091,23,2
7,Anivia,Middle,50.89%,0.58%,0.05%,2.91,5.94,4.96,7.49,6,19059,24517,3991,158.3,2.41,7.76,11223,32,2
8,Anivia,Support,50.46%,0.22%,0.05%,4.19,3.3,4.27,6.87,5,10704,15847,1957,65.4,1.1,2.38,7634,37,0
9,Annie,Middle,53.19%,1.63%,0.17%,2.53,7.91,6.49,7.8,7,22887,18429,2256,139.4,1.21,3.21,11289,13,1
10,Annie,Support,48.29%,0.40%,0.17%,2.87,4.03,5.63,6.48,6,12340,12361,1004,53.6,0.46,0.73,7553,44,9
11,Aphelios,ADC,48.48%,5.24%,2.27%,NaN,6.69,6.69,7.23,9,20397,18356,3145,167.2,2.5,8.29,11726,16,2
12,Ashe,ADC,52.69%,10.87%,0.94%,2.88,6.57,6.35,9.44,9,18836,18654,2707,155.8,2.18,7.13,11603,8,8
13,Aurelion Sol,Middle,52.78%,0.60%,0.03%,2.09,5.7,5.95,8.82,8,18482,22925,4298,132.2,1.16,3.25,9984,42,1
14,Azir,Middle,45.22%,1.10%,0.04%,2.25,5.88,6.76,6.6,8,19619,19725,2159,160.2,1.8,6.45,11173,46,2
15,Bard,Support,49.63%,2.53%,0.13%,2.53,2.92,5.58,12.44,5,11067,17262,6428,32.2,0.26,0.28,7941,24,1
16,Blitzcrank,Support,51.12%,6.30%,3.66%,2.8,2.44,5.82,11.62,5,8663,18730,1766,29.6,0.14,0.16,7585,3,2
17,Brand,Middle,50.84%,0.49%,0.91%,3.41,7.4,6.98,7.96,10,25806,20238,2572,132.4,1.44,4.4,11025,24,7
18,Brand,Support,52.83%,3.35%,0.91%,3.69,5.47,7.2,9.15,11,20833,18058,2195,36.5,0.87,1.77,9313,5,2
19,Braum,Support,48.45%,1.84%,0.08%,2.91,1.66,5.7,13.65,4,7116,19358,2392,29.6,0.1,0.13,7480,42,1
20,Caitlyn,ADC,50.66%,9.10%,1.73%,3.51,6.72,5.89,7.42,9,20200,17925,3294,164.2,1.79,5.88,11828,7,0
21,Camille,Top,49.53%,1.82%,0.10%,2.36,6.3,6.44,5.9,7,18236,26342,3615,146.7,2.63,3.88,11099,34,2
22,Cassiopeia,ADC,48.80%,0.32%,0.44%,5.54,7.42,6.4,7.13,7,20655,22919,7848,161.6,2.38,7,11631,20,0
23,Cassiopeia,Middle,51.41%,1.60%,0.44%,2.21,7.32,6.6,6.36,9,21413,24085,7450,160.9,2.57,7.6,11627,22,4
24,Cho'Gath,Jungle,48.69%,0.34%,0.09%,2.71,6.42,5.68,6.87,6,16051,35303,10350,69.6,5.19,56.4,10771,34,5
25,Cho'Gath,Middle,51.25%,0.26%,0.09%,3.32,7.94,6.15,6.58,6,20321,31278,7491,149.3,1.98,4.4,11551,26,10
