Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Top,45.25%,2.52%,0.53%,3.11,5.37,5.83,5.84,5,19173,32307,12952,157.4,2.46,3.85,10908,32,1
2,Ahri,Middle,50.63%,3.44%,0.24%,4.22,6.6,5.39,7.67,7,20607,18945,3737,155,0.97,2.95,11027,18,6
3,Akali,Middle,44.48%,2.23%,0.54%,4.22,8.18,6.39,5.41,8,19242,25340,7029,142.2,1.14,2.26,11058,32,5
4,Akali,Top,47.57%,0.86%,0.54%,4.96,6.87,6.11,4.79,7,19457,25326,7083,157.3,1.1,1.97,10955,37,1
5,Alistar,Support,51.79%,2.35%,0.07%,3.01,1.95,5.8,12.92,3,7824,21730,9410,31.1,0.09,0.12,7548,20,8
6,Amumu,Jungle,53.85%,3.03%,0.10%,2.72,4.5,5.64,9.76,6,13330,27423,7810,33.3,6.62,81.52,10193,22,4
7,Annie,Middle,52.61%,2.23%,0.14%,3.25,7.5,6.19,7.5,9,22332,18319,2374,152.9,1.25,3.21,11394,14,1
8,Aphelios,ADC,49.38%,4.38%,1.24%,NaN,6.63,6.36,7.06,7,20887,17866,2935,178.2,2.41,8.76,11931,17,2
9,Ashe,ADC,51.21%,6.23%,0.20%,3.15,6.3,6.25,9.33,7,19004,18560,2723,163.6,2.14,7.21,11763,18,0
10,Ashe,Support,49.92%,0.92%,0.20%,3.97,3.23,4.45,6.03,5,9868,10415,1043,77.2,0.41,0.95,7111,32,0
11,Azir,Middle,45.93%,1.09%,0.04%,2.73,5.76,6.25,6.66,6,20103,19280,2198,173.3,1.83,6.63,11383,35,0
12,Bard,Support,51.03%,4.02%,0.11%,3.51,2.94,5.38,12.57,5,11606,17270,6199,30.8,0.27,0.24,8034,9,0
13,Blitzcrank,Support,50.86%,5.53%,2.44%,3.52,2.27,5.69,11.37,4,8406,18456,1754,30.7,0.13,0.13,7502,15,12
14,Brand,Support,50.81%,2.96%,0.65%,4.19,5.09,7.22,9.17,7,20353,17868,1982,35.9,0.92,1.96,9211,11,9
15,Braum,Support,49.35%,2.50%,0.09%,3.49,1.58,5.62,13.59,3,7268,19455,2493,30.3,0.06,0.09,7513,29,4
16,Caitlyn,ADC,50.58%,9.60%,1.59%,4.83,6.58,5.7,7.26,8,20656,17735,3259,174.9,1.85,6.58,12048,9,2
17,Camille,Top,50.32%,1.69%,0.08%,2.86,6.68,6.2,5.57,7,19439,26808,4189,159.3,3.05,4.06,11661,28,3
18,Cassiopeia,Middle,51.73%,2.29%,0.65%,2.94,7.03,6.15,6.24,7,21714,24330,8063,175.4,2.92,8.38,11898,13,7
19,Cho'Gath,Top,49.00%,1.09%,0.08%,2.77,6.01,5.92,6.13,6,17837,32932,7519,153.2,1.33,3.03,10987,33,6
20,Corki,Middle,49.00%,1.17%,0.04%,2.97,7.43,5.79,6.77,7,23637,20616,3025,179.1,3.25,8.94,12255,17,11
21,Darius,Top,49.00%,4.26%,5.35%,3.7,6.78,5.97,4.56,7,18047,29596,6223,169.5,1.79,2.51,11665,1,0
22,Diana,Middle,49.24%,3.71%,1.74%,3.7,7.63,6.62,6.42,7,21591,22946,4373,157.6,3.45,7.82,11857,12,4
23,Dr. Mundo,Jungle,51.07%,0.87%,0.16%,3.2,5.46,4.96,7.32,6,16400,36513,16431,47.1,9.93,81.47,11134,10,4
24,Dr. Mundo,Top,51.39%,1.17%,0.16%,2.48,4.86,5.53,6.65,5,20894,34657,8619,161.1,2.2,2.34,10978,14,4
25,Draven,ADC,50.19%,2.86%,0.92%,4.5,7.61,6.56,6.76,10,21498,20127,2204,173.2,2.51,7.6,12962,10,0
26,Ekko,Jungle,49.72%,5.23%,1.93%,6.94,7.1,5.51,7.07,8,17049,30402,13810,41,7.18,76.23,10895,6,3
27,Ekko,Middle,52.14%,3.09%,1.93%,4.37,7.82,5.77,6.33,7,20712,26909,8111,156.6,1.91,3.98,11646,7,4
28,Elise,Jungle,48.42%,3.10%,0.63%,3.45,6.08,5.8,7.3,6,14612,22564,7818,28.1,7.37,70.94,10260,33,2
29,Evelynn,Jungle,48.39%,3.42%,0.97%,3.53,8.11,5.77,6.31,8,18198,23667,8546,19.1,8.71,82.05,10861,16,3
30,Ezreal,ADC,50.09%,13.16%,0.97%,4.64,7.07,5.31,7.43,8,23588,18805,2690,171.4,1.85,6.08,11884,1,1
31,Fiddlesticks,Jungle,53.36%,5.55%,1.55%,3.56,5.9,5.64,8.8,7,17035,28818,15284,36.6,7.17,87.13,10787,2,8
32,Fiora,Top,49.70%,3.39%,1.26%,3.52,6.13,6.2,4.4,6,18756,28573,8477,171.7,3.7,4.38,11802,10,1
33,Fizz,Middle,51.85%,3.53%,1.85%,3.71,8.88,5.94,6.02,8,19789,22441,3847,148.1,1.29,3.38,11736,4,1
34,Galio,Middle,52.33%,2.07%,0.18%,3.64,5.21,5.41,9.86,6,18161,22334,2156,148.3,1.06,2.44,10413,25,2
35,Galio,Support,51.52%,0.97%,0.18%,3.89,2.79,5.13,9.52,4,10430,17442,1588,56.8,0.32,0.55,7498,26,7
36,Gangplank,Top,45.59%,2.10%,0.12%,4.93,4.93,5.68,7.39,6,21032,25060,6781,188.9,1.66,4.11,12471,21,3
37,Garen,Top,51.12%,4.95%,1.12%,2.82,6.4,4.92,4.51,6,18236,27825,3363,170.5,3.29,3.73,11868,2,0
38,Gnar,Top,50.04%,1.77%,0.10%,2.82,5.16,5.64,6.68,6,19602,27054,3759,158,1.85,2.48,11072,29,4
39,Gragas,Jungle,44.53%,1.35%,0.02%,3.29,5.05,5.79,8.44,5,14546,28070,11935,28.6,6.44,79.52,10046,38,3
40,Graves,Jungle,51.69%,5.98%,1.53%,3.77,5.89,5.14,7.27,9,16043,22946,8213,49,11.44,84.68,11287,4,2
41,Hecarim,Jungle,52.35%,3.50%,0.18%,3.25,7.12,5.34,8.02,8,15665,33908,13825,38.1,8.64,85.03,11418,5,11
42,Illaoi,Top,50.00%,1.70%,0.77%,3.59,5.71,6.3,4.89,5,24182,31853,9762,188,1.38,1.45,11811,8,5
43,Irelia,Middle,43.63%,1.59%,0.71%,10.05,7.85,7.1,5.55,7,18964,28519,6951,190.5,2.31,4.07,12505,29,0
44,Irelia,Top,44.07%,2.79%,0.71%,3.45,6.95,7.02,4.68,7,18855,29049,7011,198.8,2.81,3.53,12472,23,0
45,Ivern,Jungle,51.19%,1.38%,0.04%,3.39,2.53,4.67,12.68,3,8478,14193,6462,15.8,8.98,83.63,9174,37,5
46,Janna,Support,52.06%,3.43%,0.04%,4.33,1.76,5.13,13.14,4,8077,13296,7040,17.7,0.1,0.09,7597,14,10
47,Jarvan IV,Jungle,49.24%,3.39%,0.10%,3.22,4.98,5.58,11.85,7,11831,27733,8743,31.1,6.65,74.68,10473,30,7
48,Jax,Jungle,49.07%,2.59%,1.00%,3.92,6.29,5.97,5.71,7,14769,27350,9420,55.3,8.21,69.04,11128,27,2
49,Jax,Top,49.98%,3.31%,1.00%,3.63,6.27,6.38,4.5,6,18520,25914,4675,164.8,3.59,5.28,11804,17,4
50,Jayce,Top,46.67%,0.91%,0.05%,3.9,6.27,6.28,6.23,6,21705,20690,2341,176.7,2.26,4.43,11734,36,7
51,Jhin,ADC,51.05%,8.88%,0.35%,4.85,7.26,5.4,8.57,8,20798,18254,3998,174.6,1.72,5.78,12215,3,0
52,Jinx,ADC,51.68%,5.83%,0.10%,4.38,7.12,5.89,7.81,8,20335,18423,2594,179.1,2.59,8.89,12356,8,0
53,Kai'Sa,ADC,46.14%,8.22%,0.25%,NaN,7.53,5.91,6.67,10,19689,19252,3913,178.9,2.2,8.28,12267,15,0
