Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Support,54.11%,0.55%,0.49%,16.04,3.05,3,2.15,4,8643,12879,4159,102.2,1.07,0.89,6442,31,10
2,Aatrox,Top,46.71%,2.52%,0.49%,4.57,5.27,5.7,5.85,7,18300,30902,12226,159.5,2.53,4.12,10863,29,4
3,Ahri,Middle,51.40%,2.65%,0.17%,6.53,6.61,5.49,7.67,7,20290,18696,3582,158.5,0.99,3.51,11098,19,1
4,Akali,Middle,45.15%,2.33%,0.61%,6.48,8.09,6.21,5.33,7,19336,24663,7071,151.7,1.23,2.68,11109,36,6
5,Akali,Support,49.10%,0.56%,0.61%,39.84,3.65,3.4,1.97,3,8145,10822,2032,96.9,0.34,0.38,6186,42,0
6,Akali,Top,47.46%,1.25%,0.61%,6.94,6.89,5.9,4.71,8,18942,24261,6866,160.5,1.11,1.83,10922,39,4
7,Alistar,Support,50.24%,2.84%,0.07%,3.94,1.89,5.57,12.32,4,7358,20209,8555,30.4,0.07,0.11,7268,29,0
8,Amumu,Jungle,50.41%,2.01%,0.05%,3.28,4.53,5.67,9.5,7,13150,26679,7606,31.8,6.52,81.41,10081,35,1
9,Anivia,Middle,48.44%,0.82%,0.07%,6.47,5.69,4.54,7.44,7,18774,24158,4237,176.4,2.46,10.19,11580,32,9
10,Annie,Middle,53.86%,1.38%,0.11%,4.27,7.48,6.09,7.58,7,22227,18103,2433,155.3,1.16,3.76,11410,14,3
11,Aphelios,ADC,47.95%,6.59%,3.02%,NaN,6.34,6.37,7.01,8,20183,17764,2909,181.4,2.42,9.85,11873,14,2
12,Ashe,ADC,53.67%,10.80%,0.83%,4.45,6.06,5.9,9.42,9,18861,17998,2556,172.2,2.16,8.86,11712,4,15
13,Ashe,Support,57.12%,1.70%,0.83%,5.85,3.26,3.38,4.74,5,8267,8343,899,99.1,0.55,1.09,6810,14,12
14,Aurelion Sol,Middle,53.11%,0.64%,0.02%,4.39,5.76,5.41,8.69,6,18398,21880,4348,150.3,1.14,4.64,10320,41,0
15,Azir,Middle,40.66%,1.26%,0.04%,3.57,5.74,6.18,6.37,7,19725,19292,2301,178.5,2.01,8.5,11500,42,2
16,Bard,Support,51.88%,4.37%,0.25%,5.05,2.66,5.17,12.56,4,10225,16418,6299,32.2,0.19,0.16,7729,10,3
17,Blitzcrank,Support,51.50%,5.56%,2.50%,5,2.22,5.54,11.31,4,8020,17792,1680,30.2,0.14,0.12,7385,5,5
18,Brand,Support,52.16%,2.39%,0.35%,5.44,4.99,6.96,8.8,6,19135,17093,1879,33.6,0.82,1.71,8933,9,2
19,Braum,Support,49.18%,1.99%,0.07%,4.51,1.51,5.34,13.51,3,6878,18283,2400,30.1,0.07,0.08,7319,37,8
20,Caitlyn,ADC,49.82%,7.95%,0.97%,7.45,6.49,5.67,7.33,8,20271,17603,3190,178.2,1.86,7.38,12037,11,4
21,Camille,Support,49.26%,0.62%,0.16%,8.15,3.08,3.49,2.48,5,7917,11570,1167,95.6,0.75,0.71,6402,45,4
22,Camille,Top,49.88%,3.01%,0.16%,4.24,6.35,6.06,5.86,7,18778,26388,3751,162.8,2.71,3.99,11487,14,10
23,Cassiopeia,Middle,50.10%,1.78%,0.57%,4.27,6.74,6.08,6.05,7,20666,23517,7905,178.3,2.83,9.77,11791,23,2
24,Cho'Gath,Top,47.55%,0.87%,0.05%,3.5,6.03,5.95,6.17,6,18257,32751,7635,160,1.35,3.38,11160,35,1
25,Corki,Middle,45.24%,1.17%,0.03%,4.07,7.43,6.2,6.48,8,23999,21046,2896,182.1,2.96,10.09,12423,21,2
26,Darius,Top,49.90%,3.94%,5.13%,5.57,6.7,5.82,4.59,7,17227,28163,5613,172.4,1.9,2.42,11631,1,0
27,Diana,Middle,51.52%,2.48%,0.88%,4.73,7.5,6.5,6.55,8,21326,22264,4034,161.5,3.57,8.29,11842,12,1
28,Dr. Mundo,Jungle,52.96%,0.54%,0.08%,4.15,5.36,5.04,7.4,6,16348,36187,16616,48.2,10.92,78.96,11066,9,14
29,Dr. Mundo,Top,51.17%,0.81%,0.08%,3.03,4.87,5.41,6.75,6,20529,34513,8650,165.8,2.47,2.85,11140,9,8
30,Draven,ADC,50.62%,2.36%,0.61%,6.79,7.45,6.56,6.82,8,21175,19935,2082,175.1,2.73,8.37,12969,9,1
31,Ekko,Jungle,49.67%,6.88%,2.52%,10.83,7.12,5.29,7.05,8,16689,29882,13907,39.6,7.59,77.87,10766,4,1
32,Ekko,Middle,50.92%,2.63%,2.52%,6.12,7.52,5.81,6.3,8,20221,26907,8294,160.3,1.91,4.66,11561,6,1
33,Elise,Jungle,50.85%,3.42%,1.06%,5.42,6.18,5.35,7.31,6,13930,20825,7378,25.9,7.49,69.76,9982,22,9
34,Evelynn,Jungle,49.64%,2.87%,0.99%,5.39,8.07,5.48,6.4,8,17736,22805,8369,19,9.29,82.16,10750,16,4
35,Ezreal,ADC,48.60%,15.70%,2.71%,6.95,6.72,5.3,7.42,8,22809,18027,2728,176.1,1.87,6.9,11824,1,0
36,Fiddlesticks,Jungle,50.43%,3.87%,1.88%,5.19,5.56,5.59,8.49,6,16123,28118,14990,34.9,6.95,85.25,10422,10,5
37,Fiora,Top,49.22%,2.69%,0.92%,5.35,6.02,6.31,4.4,6,18522,28642,8463,177.5,3.73,4.21,11935,15,5
38,Fizz,Middle,51.39%,3.01%,1.55%,5.26,8.52,5.83,5.94,10,18800,21956,3701,153.2,1.26,3.85,11622,7,1
39,Galio,Middle,51.89%,2.40%,0.34%,5.12,5.24,5.35,9.94,6,17565,22065,2062,152.9,0.95,3.13,10468,33,1
40,Galio,Support,52.12%,1.09%,0.34%,5.77,2.67,4.6,8.78,4,9235,15340,1254,61.4,0.27,0.45,7110,32,0
41,Gangplank,Top,50.11%,1.59%,0.13%,7.97,4.99,5.34,7.54,7,20724,24086,6719,189.4,1.76,4.08,12473,5,15
42,Garen,Top,50.08%,4.41%,1.06%,3.2,6.42,4.97,4.46,7,18231,27364,3350,173.6,3.47,3.75,11886,2,0
43,Gnar,Top,48.68%,1.61%,0.09%,3.53,5.16,5.67,6.78,8,19755,27215,3991,162.7,1.99,2.55,11217,28,4
44,Gragas,Jungle,46.54%,1.30%,0.02%,5.02,5,5.43,8.31,5,14094,26561,11318,28,6.51,75.57,9720,41,5
45,Graves,Jungle,50.19%,7.04%,2.03%,5.79,5.82,5.03,7.1,7,15613,21987,7844,47.4,12.31,84.55,11105,5,1
46,Hecarim,Jungle,52.37%,2.99%,0.14%,4.63,6.92,5.28,7.94,7,14957,32633,13588,36.1,8.48,84.47,11157,7,4
