Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Support,53.75%,0.59%,0.49%,23.03,2.98,3.05,2.21,5,8621,13028,4195,103.6,1.05,1.04,6474,38,3
2,Aatrox,Top,47.05%,2.63%,0.49%,5.3,5.11,5.63,5.91,7,17978,30546,12008,160.7,2.53,4.18,10814,33,0
3,Ahri,Middle,50.67%,2.49%,0.14%,7.55,6.51,5.43,7.64,7,20169,18625,3599,161.3,0.98,3.54,11096,20,5
4,Ahri,Support,56.40%,0.43%,0.14%,27.33,3.39,3.28,4.01,4,8749,8987,1232,90.9,0.39,0.88,6702,28,16
5,Akali,Middle,46.01%,2.14%,0.56%,7.93,8,6.12,5.39,7,19284,24608,7120,154.8,1.19,2.82,11149,42,4
6,Akali,Support,50.51%,0.58%,0.56%,54.95,3.69,3.31,2.01,6,8219,10802,2071,99.4,0.32,0.38,6272,54,0
7,Akali,Top,47.15%,1.27%,0.56%,8.23,6.9,5.81,4.76,8,19279,24320,7027,164.6,1.08,1.88,11016,39,5
8,Alistar,Support,51.73%,2.79%,0.06%,4.62,1.84,5.45,12.31,4,7111,19632,8354,30,0.06,0.08,7183,30,7
9,Amumu,Jungle,49.45%,1.66%,0.04%,3.46,4.54,5.72,9.41,7,13143,26794,7671,31.5,6.45,82.22,10076,38,1
10,Anivia,Middle,50.23%,0.85%,0.07%,8.01,5.79,4.59,7.49,7,18735,24278,4250,178.4,2.7,10.66,11654,29,3
11,Anivia,Support,54.26%,0.24%,0.07%,27.62,3.24,3.72,5.68,5,9391,13938,1628,76.8,1.24,2.99,7258,34,1
12,Annie,Middle,53.17%,1.28%,0.09%,4.75,7.51,6.03,7.5,7,22006,17890,2346,157.1,1.16,3.8,11414,12,1
13,Annie,Support,51.84%,0.34%,0.09%,5.94,3.92,4.83,5.77,6,11376,11038,878,68.8,0.44,0.98,7359,44,17
14,Aphelios,ADC,47.75%,7.14%,3.15%,NaN,6.28,6.25,7,9,20144,17501,2782,184.1,2.39,10.21,11901,13,2
15,Aphelios,Support,46.51%,1.11%,3.15%,NaN,3.04,3.49,2.91,5,7428,7885,1066,106.3,0.64,1.29,6435,36,17
16,Ashe,ADC,52.99%,10.98%,0.87%,5.22,5.92,5.84,9.37,9,18636,17773,2471,174.6,2.14,8.99,11674,5,12
