Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Top,47.92%,2.58%,0.54%,2.59,5.24,5.59,5.88,7,18742,31517,12639,157.1,2.57,3.92,10867,24,0
2,Ahri,Middle,50.33%,3.59%,0.26%,3.11,6.71,5.45,7.65,8,20878,19062,3678,151.8,0.97,3.42,11039,18,0
3,Akali,Middle,42.82%,2.41%,0.59%,3.2,8.09,6.3,5.3,9,19093,25114,6939,142.1,1.09,2.49,11009,39,0
4,Akali,Top,45.13%,0.98%,0.59%,4.11,6.98,5.92,4.65,10,19239,24999,7073,155.4,1.2,1.75,10914,40,0
5,Alistar,Support,49.48%,2.41%,0.07%,2.52,1.85,5.59,12.19,4,7580,21143,9090,30.9,0.06,0.1,7436,32,0
6,Amumu,Jungle,52.74%,3.83%,0.13%,2.39,4.51,5.63,9.88,6,13465,27227,7588,33.5,6.44,80.12,10232,24,0
7,Anivia,Middle,54.70%,0.82%,0.05%,3.14,5.9,4.57,7.59,7,19530,24169,4209,168.9,2.72,9.17,11544,20,0
8,Annie,Middle,54.16%,2.01%,0.13%,2.67,7.6,6.2,7.65,8,22708,18096,2213,150,1.31,3.73,11451,8,0
9,Annie,Support,51.70%,0.52%,0.13%,3.03,4.14,5.71,6.84,6,13293,13017,1124,56.3,0.51,1.06,7892,31,0
10,Aphelios,ADC,48.14%,3.57%,1.22%,NaN,6.34,6.36,7.05,7,20117,17242,2954,176.5,2.39,8.92,11821,19,0
11,Ashe,ADC,50.79%,7.12%,0.26%,2.62,6.15,6.28,9.14,8,18167,17956,2678,158.9,1.91,7.18,11584,18,0
12,Aurelion Sol,Middle,52.97%,0.52%,0.03%,2.11,5.69,5.79,8.91,5,19213,23572,4590,142.7,1.17,3.73,10320,37,0
13,Azir,Middle,46.79%,1.09%,0.04%,2.29,5.73,6.31,6.47,7,19595,19042,2175,169.1,1.96,6.86,11295,40,0
14,Bard,Support,51.28%,2.51%,0.10%,2.68,2.87,5.42,12.16,5,11154,17062,6256,31.1,0.24,0.22,7975,17,0
15,Blitzcrank,Support,51.43%,6.46%,3.38%,2.84,2.27,5.68,11.49,5,8474,18649,1797,30.6,0.13,0.14,7573,4,0
16,Brand,Middle,48.36%,0.49%,0.83%,3.55,6.74,6.8,7.34,6,24429,19750,2546,138,1.14,4.8,10841,35,0
17,Brand,Support,52.29%,3.20%,0.83%,3.56,5.2,7,8.98,9,20404,17589,2009,36.4,0.93,1.82,9255,5,0
